Country letter code,ISO code,Country,New population,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
IND,356,India,,103740475,106280277,108538159,110913590,113375263,115898691,118474963,121104498,123782634,126505990,129270503,132072918,134908572,137771497,140656535,143562643,146486430,149433537,152423093,155479506,158618681,161838516,165130086,168492327,171923206,175416612,178974164,182581782,186198125,189769365,193255583,196636207,199916132,203113524,206261021,209383345,212485610,215558132,218593585,221512038,224312710,226990173,229541130,231954335,234216394,236315243,238236030,239972014,241528380,242916132,244138814,245195829,246068023,246718671,247101421,247182473,246946354,246396359,245540178,244391522,242957114,244304685,245522852,246608411,247555661,248363231
XXX,999,,Uttar Pradesh,12065038,12281989,12454019,12609435,12788549,12996084,13265012,13586198,13948080,14332781,14728252,15132290,15550749,15989348,16456323,16956838,17493525,18062729,18655520,19259259,19864923,20467545,21070019,21680665,22312097,22973058,23664627,24381955,25120660,25874253,26636970,27407899,28185056,28960113,29722700,30464908,31182356,31875107,32545176,33196700,33832461,34451237,35025311,35558118,36049699,36499491,36906300,37267558,37580055,37840131,38044876,38194104,38286793,38317466,38278534,38164202,37970916,37699376,37352412,36935285,36451397,36526570,36572513,36592661,36590952,36570482
